term_str,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
notice,-0.03879710833077249,0.005100730188230769,0.0027318987881940772,-0.014522765353175465,-0.0033760109400150346,-0.026305160101925455,-0.007461345469887748,0.04527703718185055,-0.051497643336396795,-0.06800452516126398
anything,-0.04289981580570612,-0.006092147811258372,-0.011720583985306858,0.006002045146341076,-0.001588190102451717,0.0021075023312109864,0.016424075110633183,-0.019034365303473855,-4.6229692131749545e-05,-0.002070521037684292
clear,-0.06036360444440847,-0.014497733743951273,-0.039440698522719884,0.019304071266225492,-0.009757048028606562,0.003566356022840611,-0.041247371332677515,-0.05050769041567679,0.04448428112971109,-0.008832948058773826
distinguish,-0.014423706082088053,-0.003528151996050527,0.0110049552117263,0.003910193468023182,0.0015874734236342725,0.0028633023465217677,0.016253289598585144,-0.0036143036306806042,0.00588653989564028,0.003497245228585827
something,-0.029586738329295106,-0.007596017783267683,-0.00819149596912741,0.0076314373580912975,-0.000460106824303301,-0.005949296352405792,0.010094460144982878,-0.024268044511035522,0.002858595256398616,0.011137038253836828
country,0.023551668489492562,-0.04318336492358177,-0.011621204523712729,0.022159626067802418,0.0017513674572015997,0.013358982488871851,0.052006517265762456,-0.010770726874186731,0.06699290466187321,-0.06165471401217023
mankind,0.01096450182909173,-0.008546043034290407,-0.041593816491324126,-0.06249759558026957,0.022208981887680862,0.011539885308983311,0.03485594225949048,0.013457723939979488,0.031036612876996023,-0.014570224066640769
constitution,0.0028286538776777304,-0.0339359330211529,0.012218172072361602,0.02738755128221837,-0.00012783429373063038,0.016770566898242967,0.02622069670151446,0.029965531399352013,0.049236694838071055,0.020755292863055247
private,0.04379877447733896,0.017557679776646573,0.011225986232427071,-0.0150714247904849,-0.038292269627474854,0.022038766071846794,-0.006029487383713681,0.024487762536689855,0.03925973736472968,-0.007351705411627052
sight,-0.019852464381661755,0.01317567494710782,-0.012211922026759803,0.0005687972779659309,0.0023062804224414646,-0.02657996548428071,0.01349814634285415,0.024497572137196444,-0.0022896462397137066,-0.013174038604835014
want,-0.015728155433007245,0.01308452833434293,-0.04971866509637868,-0.010201352607046577,-0.013387871556514497,0.009853330174539904,0.015061949246158127,0.03506667611543867,0.028324176319051417,-0.007265830373214488
understand,-0.0078104996421914435,0.009386105411473738,0.0010102818397607072,0.001011094976735627,0.005093451261686928,0.01003386286264163,0.015747686569849637,0.014137707513588615,0.0021266617824976866,0.014942356310484906
opinion,0.005155934283479298,0.02345143565061659,-0.05491403432742137,0.024579011552992497,-0.01911769814869224,-0.015643382192817006,0.05188563980868802,0.0389884735603683,0.017344647376505484,0.039269236350568115
ordinary,-0.026032728910122857,0.007627840338918127,0.018801608885710974,-0.007178375929021125,0.007206411720591888,0.0126373786494344,0.003735687611502385,0.0030954487037709866,0.0066765767852465935,-0.003904464823592052
next,-0.005959769911560524,0.004095424576223218,-0.0002821707582906924,0.008886442663054772,-0.0003065789196451396,0.0010060387125751385,-0.012745489727703452,0.01709103400971651,-0.0024590748922287964,-0.0018739327179099624
rule,0.01688809358247087,-0.01697581621711945,-0.024539350468632298,-0.03508515316592449,0.017502663813464547,0.027024279537930636,0.0024960888001154258,0.02761217542882733,0.02428737066021633,-0.01621211399127445
suppose,-0.02490020160004734,-0.00309469951048299,-0.010861749325340378,-0.006942280862606667,0.0026727569661380984,-0.010022957804424314,0.019033973498846724,-0.00407715623699062,0.025064973274440308,-0.004945030849826226
plain,-0.014709983629468593,-0.0033400980280221594,0.000889408006562752,-0.025372265326679213,0.015527013472109379,0.017501441869858657,0.007812492490022638,-0.005840066884069961,0.006157259079714816,0.0005094729087513211
light,-0.030520998003609995,0.016995928724099305,-0.012638841434072597,0.0010266165805838333,0.0038980511028421567,-0.02838157342925119,-0.004107392719412795,0.019051207696230282,-0.024246371890471297,-0.009652562368617223
appear,-0.01614076916788669,0.009074043600119349,-0.019535054734463576,0.002511433967556837,-0.0022343860912273092,0.002779354604149697,0.0058471315317816935,0.004717742585127541,0.008263355372603642,-0.008311862258973013
lay,0.000748728831230475,-0.0065639630498638265,-0.00678095275454495,0.0022700393496884325,0.0031726560677063954,0.015998791721031455,0.011999350260365273,0.007702528663971905,0.026105873670785984,-0.009083175135422894
