term_str,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
as,0.015535183,-0.08347972,0.116461,-0.13099262,0.04173805,-0.04689277,-0.10295837,-0.0004446408,-0.124007724,-0.10367695,0.15659718,-0.060625695,0.0120350635,-0.064239495,0.056234505,0.02520985,0.085241556,-0.03658147,-0.011038608,0.053154048,-0.032784462,-0.0808577,0.24830534,-0.0999428,-0.072127834,0.025948238,-0.101255745,0.015424848,0.0629603,0.07326463,-0.12207396,-0.06348243,0.18727468,0.1873145,0.13595349,0.09364822,-0.0076725585,0.13735414,0.0588002,0.027773848,-0.16145924,-0.06820325,-0.049198095,0.20795365,-0.07087965,-0.08201667,-0.02502478,0.0006690096,-0.09635748,-0.041527297,0.11432875,0.040668048,0.17403233,-0.056504145,0.0039149933,0.15069577,-0.10175685,0.12736821,0.047656175,0.007097262,-0.14524995,-0.07822605,-0.03788805,0.055152424,-0.055188224,0.09944583,-0.14828509,-0.08578065,0.16107842,0.06338101,0.0065539335,0.12682225,0.06471944,0.0998491,0.12997606,0.15561211,0.024717418,-0.17129724,-0.05487745,0.033597197,0.0056368075,0.042822655,0.117698155,0.12911813,-0.106994726,0.04750938,-0.11658451,0.029137518,0.087553896,-0.014406453,0.24038392,0.0121242935,-0.07312679,0.05474054,-0.14485212,-0.05554941,0.105747454,-0.03255173,0.0023918913,-0.22158216
or,0.27203828,-0.1285632,0.014976745,0.011689238,-0.014440959,-0.073528215,0.10506192,0.13517956,-0.103213415,0.0050973715,-0.1425969,-0.070164345,0.028418934,-0.09051089,0.029294603,0.048082396,-0.06698359,-0.23846747,-0.16830482,0.022700222,0.03183861,-0.016919212,-0.042865124,-0.18789954,0.051550075,-0.10511408,-0.11237502,0.07189885,0.07231557,0.1657807,-0.04617596,-0.05528302,0.020992208,0.0381192,0.10382956,0.1048583,-0.14657544,-0.12005829,-0.14261681,-0.14885324,-0.20238991,0.08125546,0.041530963,-0.01982654,0.085437916,-0.02054881,0.102711305,-0.17772307,-0.13563779,0.08756054,0.09139795,-0.07386369,0.0037348,-0.08428638,-0.002406234,-0.02800819,0.10610387,0.08337961,-0.04711961,0.04078202,-0.040972177,-0.020352863,-0.015806966,-0.033634387,-0.16813345,0.22049917,0.08615071,-0.02747864,-0.028509725,-0.081667796,-0.15447451,0.096171185,0.121473715,-0.002917707,-0.047215607,0.012187243,-0.022249987,-0.096697725,-0.17408301,0.12600146,-0.023776552,0.10050471,-0.09187423,0.069380336,0.04218425,0.07956265,-0.2427947,-0.109126665,-0.06120565,-0.017989378,0.021881139,0.06781996,-0.13086474,-0.04532368,0.0170426,-0.06456927,-0.008718553,-0.111169934,-0.070593566,0.03395038
which,-0.13431686,0.10626536,-0.073876046,-0.16470069,0.12587748,0.10671803,-0.123040974,0.12943117,0.11642047,-0.11491163,-0.0034261565,-0.15868723,-0.121807106,-0.10689961,0.05215313,-0.12440816,-0.08190083,0.056770533,0.051719103,-0.12050703,-0.201093,-0.026330613,0.16962211,-0.06322828,-0.041181777,-0.03053702,-0.054757714,-0.021725645,-0.034685653,0.17217086,-0.06993694,-0.22851443,0.08313885,0.067928806,-0.045379784,-0.010670805,-0.037839588,0.020870855,0.184658,0.011153479,-0.057771794,0.02609836,-0.056896765,-0.06900152,0.0050380663,-0.071981765,0.011324171,0.09661332,-0.12984276,0.08203172,0.18660088,-0.042024087,0.14946054,-0.07964471,-0.025320623,0.025300635,0.043254025,0.061425198,0.07525423,0.13978937,-0.04948102,-0.0711623,-0.006280234,-0.026611945,0.0068284306,-0.052215423,0.14489953,0.009111839,-0.16528507,0.093516,-0.034906417,-0.06760999,-0.07828893,-0.10262686,-0.14428474,-0.08171185,-0.16867733,-0.09135206,-0.1445769,-0.065478146,-0.23610212,0.13013394,-0.0075882585,0.13827752,-0.058768824,0.05808558,0.049140867,-0.12928146,0.09308974,-0.047941253,-0.051331267,-0.15937996,-0.121665284,-0.052469034,0.08566643,-0.04287989,0.02554313,-0.107390635,-0.06642161,0.098715656
by,-0.005215196,0.034062352,-0.14139006,-0.10700075,0.17481102,0.043630015,-0.17628814,-0.009117145,-0.14923483,0.017555643,0.0018796462,0.013236157,-0.011522395,-0.10507359,0.13023116,0.02340028,0.03658585,-0.23103286,-0.04024892,-0.00975139,-0.018901352,-0.0016717195,-0.08534536,-0.025605816,0.018989613,-0.19953689,-0.13105181,-0.12055443,0.06681791,-0.0236603,0.089164406,-0.026854891,-0.010250205,-0.15946762,0.11139612,-0.08788171,-0.13618366,0.08089325,-0.0076277773,-0.06523166,0.1173319,0.018624816,0.09716587,0.1023638,0.06702613,-0.0010958447,-0.046263494,0.048394375,-0.05980709,0.19388328,-0.05378532,-0.14627293,0.08855431,0.07104973,0.03387357,-0.009789606,0.20772724,0.116981976,0.02412603,0.04432801,-0.08566359,0.2516995,0.16190505,-0.096224524,-0.039229717,-0.083630286,0.09965722,0.042680077,0.14474533,-0.02572945,-0.002106248,-0.012265151,-0.11045272,0.03840243,0.11023382,-0.046333075,-0.13822444,0.16952984,-0.102228664,-0.20889096,-0.021696664,0.048355233,0.04717003,-0.02017467,-0.1326713,0.09068634,-0.024292806,-0.002233359,0.064136334,0.07926341,-0.00998051,0.025896981,-0.2924464,-0.11234333,-0.03956267,-0.036239505,0.072379455,-0.0825233,-0.10356443,-0.00025854754
not,0.107151315,0.028184215,-0.054509867,-0.11339471,0.17190063,-0.007451432,0.0028339762,-0.021263966,0.19443882,0.005683441,0.20708373,-0.053861067,-0.07344962,-0.11255792,-0.008627444,-0.08296894,0.027796771,-0.148611,0.030734656,0.07163132,0.034282565,0.033938944,0.14740145,-0.106408715,0.04579227,0.0066916887,-0.04005625,-0.083872005,0.23757827,-0.11912439,-0.0868553,-0.06666798,0.12437787,-0.08178983,0.084072314,-0.08701291,0.11702035,0.122317985,-0.005639386,0.049287964,-0.0040635862,-0.10964692,0.21017252,0.09152044,0.0055325166,-0.05924787,-0.04131606,-0.084753595,0.0044751633,-0.030138513,0.026455345,0.08140575,0.032918386,-0.060172234,0.02048909,-0.013251239,0.004834134,0.013305576,-0.020789772,-0.017573904,-0.27442256,0.13128898,0.09741235,0.19037272,-0.05677195,0.072420925,-0.13391553,0.03339801,-0.17845027,0.12766878,-0.10044113,-0.064626105,0.15328154,0.12977451,0.025579728,-0.12905718,0.075221196,-0.0067610587,-0.18389884,-0.028004162,-0.14164488,-0.016038073,0.06110979,0.029344097,0.017729372,0.06885103,-0.03254861,0.16327079,-0.10898263,-0.06570003,0.10124517,-0.0017546518,-0.041073907,0.073546074,0.062167414,0.010712698,0.045344517,0.2109293,-0.21776189,-0.02657526
for,0.04468323,-0.09657618,-0.11321406,0.033072732,0.15518822,0.0152153345,-0.11720555,0.04281622,0.008280199,-0.07300557,0.01828443,-0.1144327,-0.07138953,0.074334756,-0.017023578,0.0060791825,-0.057572246,-0.24488212,0.007938852,0.13078466,-0.07899354,-0.18080033,0.13815224,-0.09067236,-0.043363906,-0.039700974,-0.09348758,0.14462264,0.09041991,-0.0361835,0.09056181,-0.050504845,0.06771867,-0.007008094,0.1452861,-0.055953737,-0.08336148,0.08099025,-0.0016623534,0.16653591,0.104648955,-0.038546212,0.009850799,0.18064617,0.11399314,0.09408437,-0.091731355,-0.114149325,-0.041237403,-0.035035916,0.016575936,-0.077199884,0.13023697,-0.02237816,-0.035521496,0.022872718,0.08215887,0.16658969,0.10758745,-0.09728736,-0.088744156,0.049255453,0.20608398,0.058856603,-0.036194425,-0.08390324,0.011935028,0.2015393,-0.035217993,-0.05997694,0.06094838,0.120652415,0.16286232,0.19107364,0.17990965,-0.12192227,-0.029767254,-0.017586024,-0.0119008925,-0.03950441,-0.24350026,-0.037629545,0.07013365,0.053313836,-0.15684624,0.023598524,0.035339497,-0.0826421,0.049807552,0.05475915,0.057192776,0.1364483,-0.24272831,0.008820027,-0.1312743,0.10719841,0.058058944,0.018998105,0.007231046,0.018488264
but,0.10879661,-0.16823372,-0.038362302,-0.052281864,0.11947109,0.14018284,-0.052149974,0.17486748,0.09861869,0.009193223,-0.19454,-0.22694814,-0.0710581,0.05836877,-0.08887833,0.037336003,-0.1544835,-0.031563703,0.036769617,-0.050822336,0.12277401,-0.08982936,0.08162688,-0.02695683,0.0066530416,-0.02802493,0.03625678,-0.08853519,0.23467942,0.16225275,0.21060403,-0.040307797,0.00096817315,-0.027082566,0.06441539,0.018770354,-0.018162316,0.0028311545,-0.05500649,-0.03290604,0.020151708,-0.02212768,0.06133958,-0.016500497,0.047585163,0.06728319,-0.093328945,-0.10152317,0.03570565,0.048959445,0.09125027,-0.20705962,0.19284627,-0.1772586,-0.041302856,0.10502499,-0.06342874,-0.002813835,0.013360154,0.033584744,-0.112410635,0.0063938256,0.1219595,-0.0322125,-0.030467587,0.007916178,0.061766073,0.17891121,-0.008310915,0.06490028,-0.03855634,-0.082637645,0.13128069,0.10872089,-0.17841697,-0.051111575,0.096011125,-0.024629278,0.011447995,0.070726156,-0.14415364,-0.05417708,-0.1559228,-0.051798902,-0.15775958,-0.01588676,-0.096518666,-0.22789766,0.045881625,0.032811414,0.11970828,-0.002691105,-0.11982401,0.0804879,0.008785188,0.120338656,0.053780016,-0.119931094,-0.10229757,0.13651587
are,0.025944026,0.08718374,0.06395374,-0.094871655,0.10173031,-0.15875015,0.066594735,0.06724727,-0.14759853,-0.21952523,0.064355105,-0.17171946,0.045535367,0.1287663,0.17226434,-0.0052498467,0.080265015,0.044941813,0.10561477,-0.11692674,-0.018497424,-0.067620195,-0.19889212,0.09933071,0.06689789,-0.000600193,0.041318532,-0.11090252,-0.03914157,-0.08026767,0.03815971,0.053954612,-0.16720809,-0.0961956,-0.027615592,0.05324423,0.027596198,0.04725924,0.05050371,-0.08773616,0.10537124,-0.009553758,0.12213714,0.054317195,-0.046513375,0.17420901,-0.16961503,0.061951604,0.049885627,0.07995114,0.032158766,-0.041212797,0.00836402,-0.02010609,0.13382645,0.031963296,0.012740207,-0.14901821,-0.04563919,-0.010459207,-0.0517125,0.1101248,-0.100808084,-0.010544127,0.18187499,0.16877604,0.003094733,0.006181196,0.20131391,-0.09257365,0.15623792,0.00022544268,0.11984289,0.096941374,0.09399923,0.073401675,0.13097005,0.08101502,0.10154012,0.01262414,0.056607,0.12437514,-0.080969155,-0.094055004,0.10628592,0.0148897385,0.18629947,-0.0623814,0.08310135,0.008774253,0.17149505,0.21129884,-0.035144452,-0.052182283,0.09727968,0.115657374,-0.036899686,-0.12887907,0.093259364,-0.09398458
they,0.011979712,0.016450794,-0.13098659,0.21139714,0.12060774,0.021337537,-0.0619695,0.17443961,0.00034395105,-0.07077593,-0.0076320036,-0.025070896,0.09756215,0.045553993,0.15668873,-0.078857794,-0.05621813,-0.105199896,0.15994033,0.23818405,0.14313893,-0.029024523,-0.11241786,0.12925266,0.103273585,0.11238306,-0.030790282,0.10803237,0.15563892,-0.006249496,-0.0137715135,-0.031813264,-0.027184818,0.033339527,-0.0067996876,0.047586408,0.110263444,0.089321226,-0.029244395,-0.028699381,-0.19909982,0.08911053,0.17434193,0.050733447,-0.18149005,0.05104509,-0.056700993,0.04916197,0.19321394,0.05650657,0.044786368,0.013925453,-0.17769949,-0.01800052,0.02015261,0.14176491,-0.01203843,-0.004373604,-0.0047657103,-0.11068733,-0.052054048,0.24054334,0.03868919,0.0643093,-0.049152996,0.12781358,0.05843494,0.15949464,-0.03278765,0.023000903,0.11082479,-0.08310879,0.10760791,-0.03479324,0.058170605,-0.09251168,0.071303494,0.09913496,-0.10406013,0.075068,-0.088610835,-0.049235772,0.07167578,-0.10358317,0.23001906,-0.080418974,-0.07478715,0.16190642,0.0019889253,-0.07363222,0.19063161,0.06261615,0.03569297,0.11232645,-0.03520246,-0.025407946,-0.02059374,0.036014322,-0.048691098,0.054352634
their,-0.06391169,0.08057508,0.10790764,0.033839,-0.024386061,-0.09031723,-0.06279821,0.090262,0.022192169,-0.1371248,-0.038047235,-0.09848722,0.023639163,0.061662354,0.3193427,0.09870428,0.032211885,-0.09857685,0.00097234367,0.005381534,-0.026930356,-0.03651651,-0.21194275,0.05322393,-0.08121403,0.1354702,-0.10578367,-0.020627601,0.13194603,0.050880503,-0.036103334,-0.19082324,-0.18587276,-0.071029976,0.015516973,0.05470556,0.12324467,-7.9528974e-05,-0.06590275,0.032809366,-0.119781084,0.2570113,0.03484541,0.04141989,-0.079755016,-0.03545016,-0.18891543,0.13526793,0.118230104,0.05797025,-0.053822234,0.004842088,-0.020728165,0.05457453,0.09078537,0.18553849,0.13464563,0.025302028,0.026593752,-0.04502674,-0.2506357,0.036844153,-0.10158261,0.11477787,0.09988835,0.091672935,0.035477128,-0.11837744,0.019020446,0.024906432,-0.038549062,-0.0013849132,-0.09604493,-0.21654871,0.028821647,0.032871734,0.10831125,0.016963618,-0.07740751,-0.004765659,-0.09113252,-0.04252948,0.1822267,-0.03704861,0.115426734,-0.02746383,-0.10472167,0.08749306,-0.0219602,0.024329796,-0.049226955,0.095479205,-0.116467744,0.029419743,-0.038246132,0.020745449,-0.101121485,0.08777719,0.11663013,0.1430434
