book_id,chap_num,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,title,author,doc
1,1,0.10287150762113817,-0.07858209639327735,-0.026002331538943175,0.09471732312899375,0.003256919819286516,-0.07068038824083846,0.11060760185041757,-0.192809692452259,-0.09686628899925587,-0.079965460738975,The Social Contract,Jean-Jacques Rousseau,The Social Contract by Jean-Jacques Rousseau (CH1)
1,2,0.12177314895417161,-0.08497720836062965,-0.06350409572889927,-0.003221791894171781,0.03883160533873357,-0.05651535239975635,0.1030930601954608,0.03253749492578577,0.056158971102469576,-0.0821723556951679,The Social Contract,Jean-Jacques Rousseau,The Social Contract by Jean-Jacques Rousseau (CH2)
1,3,0.10535891182591613,-0.048064942222794164,-0.027382317027508218,0.05618251056988797,-0.007096702304817769,-0.0644784626390616,0.061242328996855826,-0.06836287027554039,-0.05405385068532537,-0.0007547826674889056,The Social Contract,Jean-Jacques Rousseau,The Social Contract by Jean-Jacques Rousseau (CH3)
1,4,0.18350704899796244,-0.13664139821927088,-0.021194800416315298,-0.0286809009298014,0.04532202173395659,-0.00803195196364924,0.17710322451304253,-0.12052000246209685,0.06208303438254903,-0.15942977280543486,The Social Contract,Jean-Jacques Rousseau,The Social Contract by Jean-Jacques Rousseau (CH4)
1,5,0.15755364117100426,-0.13520540488399968,0.0017488004469611205,0.03983563749770155,0.05149510171240863,-0.031107747884654906,0.06534689641540195,-0.05794307826268419,-0.035130768449679606,-0.02422598266469101,The Social Contract,Jean-Jacques Rousseau,The Social Contract by Jean-Jacques Rousseau (CH5)
1,6,0.12690211059937886,-0.2696640152865433,0.04431833288295733,0.18426630301003577,-0.02575178623441697,0.04779883550147923,0.191484625465154,-0.2668426271365865,-0.1351240714702253,-0.05197273377984,The Social Contract,Jean-Jacques Rousseau,The Social Contract by Jean-Jacques Rousseau (CH6)
1,7,0.17318640279670405,-0.3091111978025148,0.07208731815594735,0.33017234681128754,-0.0735722628661242,-0.017811278155415715,0.09860837611665448,-0.3090036624985473,-0.33032964097358825,0.07222721327958012,The Social Contract,Jean-Jacques Rousseau,The Social Contract by Jean-Jacques Rousseau (CH7)
1,8,0.11374158973250773,-0.14720088524221164,-0.04089139088537702,0.03678309474182624,-0.00044415966371680045,-0.0627289638314094,0.2434859173472364,-0.12703938182594526,0.01772831584391583,-0.133730499372673,The Social Contract,Jean-Jacques Rousseau,The Social Contract by Jean-Jacques Rousseau (CH8)
1,9,0.1702473128004882,-0.2707189048611005,-0.009369606244086823,0.05980627939613201,0.06202902103532094,0.03931954535744069,0.13542604300006245,-0.20325275314932276,-0.02764995490906161,-0.05619800061005934,The Social Contract,Jean-Jacques Rousseau,The Social Contract by Jean-Jacques Rousseau (CH9)
1,10,0.09045531765164848,-0.27110029994398455,-0.04382899384595802,0.24786887139106512,-0.05421693475495516,-0.009203608719451592,0.0748699728877025,-0.27979055925289376,-0.2096393697504362,0.06745364916274148,The Social Contract,Jean-Jacques Rousseau,The Social Contract by Jean-Jacques Rousseau (CH10)
1,11,0.10211178002191575,-0.1629927010679656,0.005518639320395153,0.09023066294292066,-0.010531411245782824,0.0008432224885599562,-0.024618235175187332,-0.11528935172825316,-0.14811556170944146,0.04830666119422853,The Social Contract,Jean-Jacques Rousseau,The Social Contract by Jean-Jacques Rousseau (CH11)
1,12,0.04647669411079294,-0.1817688617042902,-0.04547836325120344,0.1777919335694393,-0.04704166473537387,0.013365771187748622,0.09181073871035503,-0.08372099991847586,0.041137718986850154,-0.018502457298716864,The Social Contract,Jean-Jacques Rousseau,The Social Contract by Jean-Jacques Rousseau (CH12)
1,13,0.15769765846025616,-0.32583576248089624,0.021153214908699654,0.2789766772736941,-0.0652431141704767,0.03489670523990139,0.15459783476155423,-0.3265139293704275,-0.25386786652006726,0.04275875190247739,The Social Contract,Jean-Jacques Rousseau,The Social Contract by Jean-Jacques Rousseau (CH13)
1,14,0.19798938649365555,-0.2078923256265428,0.008090263527044205,0.17691797325884365,-0.02547065111257812,-0.022510107460368533,0.1184858489022424,-0.18242363402743828,-0.14215569989746252,-0.06621135439691217,The Social Contract,Jean-Jacques Rousseau,The Social Contract by Jean-Jacques Rousseau (CH14)
1,15,0.16901270627242915,-0.2869767192245738,0.026877815844128246,0.17547932750962697,-0.04032725776403187,0.06013315026920484,0.05884715980095974,-0.054605548242835596,-0.02199664701676662,-0.013580144757585672,The Social Contract,Jean-Jacques Rousseau,The Social Contract by Jean-Jacques Rousseau (CH15)
1,16,0.11222838087145948,-0.1391430888038714,-0.06771079036181687,0.12133926861338476,0.039259004220505905,-0.02897255730372169,0.15740845084899843,-0.017958161559751,0.0728579504142097,-0.07264585226396868,The Social Contract,Jean-Jacques Rousseau,The Social Contract by Jean-Jacques Rousseau (CH16)
1,17,0.0997205985348454,-0.08494076473371652,-0.02262898223020415,0.09193112755904989,0.019108905338876728,-0.10560063501411178,0.1413095646664832,0.04155032591024813,0.12314120397557833,-0.05324706359282416,The Social Contract,Jean-Jacques Rousseau,The Social Contract by Jean-Jacques Rousseau (CH17)
1,18,0.0997202887595031,-0.195571417159888,0.031040594024342207,0.12905553207478518,-0.01422983501284179,-0.0584272160979519,0.02060894653472294,0.04439333535118818,0.13069760742434275,-0.026451679528916285,The Social Contract,Jean-Jacques Rousseau,The Social Contract by Jean-Jacques Rousseau (CH18)
